№, Источник, Текст, Строк
1,Русские народные частушки.html,"Я стояла за крыльцом, 
А сказали: с молодцом
Я платочек вынимала,
А сказали: целовала",4
2,Русские народные частушки.html,"Что сидите, мужики, 
Штаны протираете? 
В поле только сорняки, 
А вы все гуляете",4
3,Русские народные частушки.html,"Ой деды, деды, деды! 
До чего же вы хитры, 
Как иду я по воду - 
Седина вам в бороду",4
4,Русские народные частушки.html,"Бросила я камешек 
К милому в окошко
Окно растворилося, 
Оказалась - кошка",4
5,Русские народные частушки.html,"На трубе сидит петух
Он кричит, что видит двух: 
Ванечку с цветами, 
Петеньку с деньгами!",4
6,Русские народные частушки.html,"Я накрашу губки ярко, 
Я пойду через село, 
Будет всем ребятам жарко, 
Ну а мне-то - весело",4
7,Русские народные частушки.html,"Семь красавиц, семь сестер 
На лугу зажгли костер
Песни распевают, 
В гости зазывают",4
8,Русские народные частушки.html,"Меня молодцы не любят 
И не любят мужики, 
А я бегаю с соплями 
И пускаю пузыри",4
9,Русские народные частушки.html,"Пашут во поле весной наши трактористы, 
А целуют под сосной наши гармонисты
Мы пололи огород, парни веселилися
Жарко стало, мы разделись, а они свалилися",4
10,Русские народные частушки.html,"Топну левой ногой, 
Топну правенькой, 
Все равно девчонки любят, 
Хоть я – маленький!",4
11,Русские народные частушки.html,"Дояр Вася загрустил, 
И вздохнул устало
Всех коровок подоил, 
А надоя - мало!",4
12,Русские народные частушки.html,"Завела гармонь девчонку, 
От любви блестят глаза
Полюбила гармониста, 
Не сдержала тормоза",4
13,Русские народные частушки.html,"Тучки по небу плывут, 
Отражаясь в озере
А Тарас приехал к Нюре, 
На своём бульдозере",4
14,Русские народные частушки.html,"Летом скучно без частушек, 
Без весёлых песен - 
Без гармошки заводной 
Мир неинтересен!",4
15,Русские народные частушки.html,"Солнце весело сияет, 
Нет причины хмуриться
Бабы по полю идут, 
И на Солнце жмурятся",4
16,Русские народные частушки.html,"Я сидела на печи, 
Сторожила калачи
А за печкой мышки 
Сторожили пышки",4
17,Русские народные частушки.html,"Ай да серенький коток 
Пошел к речке под мосток, 
В воду хвостик опустил, 
Кошкам рыбы наловил!",4
18,Русские народные частушки.html,"По селу хожу с Тимошкой, 
А Тимошка мой — с гармошкой
Он играет, напевает, 
Ветер кудри развевает",4
19,Русские народные частушки.html,"Миленький, не стукайся, 
Хорошенький, не брякайся, 
Под середнее окно 
Тихонько поцарапайся",4
20,Русские народные частушки.html,"Милый спит, тихонько дышит
Я целую — он не слышит",2
21,Русские народные частушки.html,"Скоро я хозяйкой стану 
У милого во дому: 
Будут ужинать садиться 
По приказу моему",4
22,Русские народные частушки.html,"Дорогой по осени 
Сказал словечко тайное: — 
Припасай, сударушка, 
Колечко обручальное",4
23,Русские народные частушки.html,"Кучерявого Алешу 
Хочу люблю, хочу брошу",2
24,Русские народные частушки.html,"Приезжали меня сватать 
С позолоченной дугой
Пока пудрилась, румянилась, 
Уехали к другой",4
25,Русские народные частушки.html,"Ну, какая это стать, 
Ведра на гору таскать? 
Я пойду замуж туда, 
Где под окошечком вода",4
26,Русские народные частушки.html,"Шила милому кисет, 
А вышла рукавица
Пришел милый, похвалил: 
— Какая мастерица!",4
27,Русские народные частушки.html,"Мы с милёночком гуляли 
Возле нашего пруда; 
Нас лягушки напугали 
— Не пойдем больше туда",4
28,Русские народные частушки.html,"У кого какой миленок — 
У меня ремесленный: 
Отдала ботинки шить — 
Сшил бурак берестяный",4
29,Русские народные частушки.html,"От любви сердце пышет: 
Щи кипят, она не слышит",2
30,Русские народные частушки.html,"У Тимошки чуб волною, 
Он ухаживает за мною",2
31,Русские народные частушки.html,"Ох, кошка, брысь! 
На-порог не садись: 
А то миленький пойдете 
Спотыкнется — упадет",4
32,Русские народные частушки.html,"У меня на сарафане 
Косолапы петухи; 
Я сама не косолапа — 
Косолапы женихи",4
33,Русские народные частушки.html,"Ты зачем расцвел, 
Василек, во ржи? 
Ты зачем пришел, 
Милый мой, скажи?",4
34,Русские народные частушки.html,"Эх, Семеновна, 
Моя ты крошечка, 
Да я пришел к тебе 
Да под окошечко",4
35,Русские народные частушки.html,"Милый, что, милый, что? 
Милый сердится на что? 
То ли люди что сказали, 
То ли сам заметил что?",4
36,Русские народные частушки.html,"А мне милый подарил 
Любовь свою верную, 
А я ему подарила 
Свою безразмерную",4
37,Русские народные частушки.html,"У меня хороший повод — 
Петь частушки и плясать
Поздравляю тебя, теща, 
У тебя хороший зять!",4
38,Русские народные частушки.html,"Музыка у нас играет — 
Пусть не остановится! 
Муж жену когда целует — 
Завидно становится!",4
39,Русские народные частушки.html,"Не хватает у нас места, 
Негде яблоку упасть! 
Хороша, свежа невеста, 
Так и хочется украсть!",4
40,Русские народные частушки.html,"Свадьба пьёт и веселится, 
И смеётся, У-ха-ха! 
А невеста пусть гордится, 
Посмотрев на жениха!",4
41,Русские народные частушки.html,"Греет землю жарко лето, 
Свадьба весело идёт, 
И пускай событье это 
Радость в сердце всем несёт!",4
42,Русские народные частушки.html,"Свадьба пусть поёт и пляшет, 
Расцветает, как букет… 
Тёща ручкой нежно мажет 
И свекрови шлёт привет!",4
43,Русские народные частушки.html,"Пожелать хотим влюбленным 
Честно в доме поделить — 
Кому мусор и посуда, 
А кому баклуши бить!",4
44,Русские народные частушки.html,"Молодая, ты послушно 
Выполняй наказы мужа, 
Муж, жене будь верным 
Не действуй ей на нервы!",4
45,Русские народные частушки.html,"Вам под самой крышей рая 
Свить гнездо своё желаем! 
И чтоб было то гнездо 
Полной чашей на все сто!",4
46,Русские народные частушки.html,"Я искал себе невесту, Пол-России истоптал
Друг, признайся, только честно: Где таку красотку взял?
Ой, колечко ты моё, Золотая проба
Буду милую любить До самого гроба!",4
47,Русские народные частушки.html,"Ненадежные девицы 
Переполнили страну
В наше время положиться 
Можно только на жену!",4
48,Русские народные частушки.html,"Надоела в девках воля, 
Мне мила замужних доля, 
Буду мужу помогать я — 
Покупать духи и платья!",4
49,Русские народные частушки.html,"Все у тестя по уму! 
Любит он свою жену! 
Деньги лихо достает — 
Дочку замуж отдает!",4
50,Русские народные частушки.html,"Нету лета без июля, 
А июля без цветов; 
Нет любви без поцелуя — 
В поцелуе вся любовь!",4
51,Русские народные частушки.html,"Мы с невестою подружки, 
Сколько лет — не сосчитать
Обещай, жених, невесту 
Ежечасно целовать!",4
52,Русские народные частушки.html,"Тесть на свадьбе — генерал! 
Дочку замуж он отдал! 
Он уверен: счастье будет! 
Зять невесту очень любит!",4
53,Русские народные частушки.html,"Если ягода созрела, 
Надо ягоду сорвать
Звать невестой надоело — 
Знать, пора женою звать!",4
54,Русские народные частушки.html,"Что случилось, ой-ой-ой, 
Не найти нам места: 
Дочка махонька такая — 
Вот уж и невеста!",4
55,Русские народные частушки.html,"Не спеши, подружка, замуж, 
Походи по улице
Еще перина не готова — 
Перышки на курице",4
