№,Источник,Текст,Строк,Схема_рифмовки,Рифмующиеся_слова,Валидность
362,Сгенерировано AI (Perplexity),"Самогонку деду дали
Он напился и запел
А когда песню закончил
Не понял где он сел",4,ABCB,"['дали', 'запел', 'закончил', 'сел']",1.0
74,Русские народные частушки.html,"Кипятила молоко, 
Отошла недалеко,
Подхожу к нему опять: 
Молока уж не видать",4,AABB,"['молоко', 'недалеко', 'опять', 'видать']",1.0
375,Сгенерировано AI (Perplexity),"На аукционе я была
Антиквар лоты представлял
Он меня в запасник увёл
И свой раритет показал",4,ABCB,"['была', 'представлял', 'увёл', 'показал']",1.0
156,Русские народные частушки.html,"Скоро я хозяйкой стану 
У милого во дому: 
Будут ужинать садиться 
По приказу моему",4,ABCB,"['стану', 'дому', 'садиться', 'моему']",1.0
105,Veselye-Russkie-chastushki.html,"Как я рос да распускался 
До семнадцати годов, 
А в семнадцать на тусовке 
Я остался без зубов",4,ABCB,"['распускался', 'годов', 'тусовке', 'зубов']",1.0
395,Сгенерировано AI (Perplexity),"На вернисаже я была
Фотограф снимки представлял
Он меня в студию увёл
И свой кадр лучший дал",4,ABCB,"['была', 'представлял', 'увёл', 'дал']",1.0
378,Сгенерировано AI (Perplexity),"Я работала в музее
Артефакты описывала древние
Но куратор главный был
Свой экспонат показал дневные",4,ABCB,"['музее', 'древние', 'был', 'дневные']",1.0
125,Русские народные частушки.html,"Солнце весело сияет, 
Нет причины хмуриться
Бабы по полю идут, 
И на Солнце жмурятся",4,ABCB,"['сияет', 'хмуриться', 'идут', 'жмурятся']",1.0
69,Русские народные частушки.html,"Выбрал кот одну тропинку 
И на ней он встретил Нинку
Несла Нинка пирожки, - 
Коту радость и смешки",4,AABB,"['тропинку', 'нинку', 'пирожки', 'смешки']",1.0
451,Сгенерировано AI (Perplexity),"Я работала на рынке
Яйца продавала свежие
Но один покупатель был
Своё яйцо показал прежнее",4,ABCB,"['рынке', 'свежие', 'был', 'прежнее']",1.0
10,Русские народные частушки.html,"Пожелать хотим влюбленным 
Честно в доме поделить — 
Кому мусор и посуда, 
А кому баклуши бить!",4,ABCB,"['влюбленным', 'поделить', 'посуда', 'бить']",1.0
195,Сгенерировано AI (Perplexity),"Я на свадьбе танцевала
Свидетель ко мне прилип
Повёл меня в сарай он
Там показал свой прибор",4,ABCB,"['танцевала', 'прилип', 'он', 'прибор']",1.0
407,Сгенерировано AI (Perplexity),"Милый мой работал в шахте
Уголь добывал он лично
Но в постели как рабочий
Все пласты освоил лихо",4,ABCB,"['шахте', 'лично', 'рабочий', 'лихо']",1.0
